Symbol;Name;LastSale;MarketCap;Sector;Industry;Exchange;BookValuePerShare
AAU;Almaden Minerals, Ltd.;1.29;83209284.09;Basic Industries;Precious Metals;AMEX;0.68
ACU;Acme United Corporation.;16.5;53003808;Capital Goods;Industrial Machinery/Components;AMEX;10.95
ACY;AeroCentury Corp.;16.4;25309414.8;Technology;Diversified Commercial Services;AMEX;30.13
ADGE;American DG Energy Inc.;2.32;115577574.4;Energy;Electric Utilities: Central;AMEX;0.19
ADK;Adcare Health Systems Inc;4.05;70897048.2;Health Care;Hospital/Nursing Management;AMEX;0.7
AE;Adams Resources & Energy, Inc.;63.01;265750724;Energy;Oil Refining/Marketing;AMEX;37.73
AIRI;Air Industries Group;10.17;60036001.65;Capital Goods;Military/Government/Technical;AMEX;3.59
AKG;Asanko Gold Inc.;1.92;330656173.4;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);AMEX;2.26
ALN;American Lorain Corporation;1.16;40155388.24;Consumer Non-Durables;Packaged Foods;AMEX;5.53
ALTV;Alteva (D/B/A);7.03;42801079.41;Public Utilities;Telecommunications Equipment;AMEX;2.11
AMCO;Armco Metals Holdings, Inc.;0.2031;10711425.15;Consumer Durables;Steel/Iron Ore;AMEX;1.19
AMPE;Ampio Pharmaceuticals, Inc.;7.38;383141349.4;Health Care;Major Pharmaceuticals;AMEX;1.68
AMS;American Shared Hospital Services;2.5;11520925;Health Care;Medical Specialities;AMEX;4.24
AMZG;American Eagle Energy Corporation.;6.11;185839340.4;Basic Industries;Precious Metals;AMEX;4.51
ANV;Allied Nevada Gold Corp.;2.76;287683775.5;Basic Industries;Precious Metals;AMEX;7.5
API;Advanced Photonix, Inc.;0.5301;16540823.21;Technology;Semiconductors;AMEX;0.37
APT;Alpha Pro Tech, Ltd.;2.29;42683097.03;Health Care;Industrial Specialties;AMEX;1.91
ASM;Avino Silver;1.53;49329892.8;Basic Industries;Precious Metals;AMEX;1.13
ATL;Atlatsa Resources Corporation;0.3902;216283362.2;Basic Industries;Precious Metals;AMEX;0.47
AUMN;Golden Minerals Company;0.53;23071341.49;Basic Industries;Precious Metals;AMEX;0.94
AVL;Avalon Rare Metals, Inc.;0.5;56401920.5;Basic Industries;Precious Metals;AMEX;0.91
AWX;Avalon Holdings Corporation;4.05;15403490.55;Public Utilities;Environmental Services;AMEX;10.45
AXU;Alexco Resource Corp;1.06;66328331.88;Basic Industries;Precious Metals;AMEX;1.49
AXX;Alderon Iron Ore Corp.;1.36;176996067.1;Basic Industries;Precious Metals;AMEX;1.38
AZC;Augusta Resource Corporation;2.74;398551130.6;Basic Industries;Precious Metals;AMEX;1.4
BAA;BANRO CORPORATION;0.41;103361275.5;Basic Industries;Precious Metals;AMEX;1.94
BDL;"Flanigan&#39;s Enterprises, Inc.";14.26;26504306.22;Consumer Services;Restaurants;AMEX;11.91
BDR;Blonder Tongue Laboratories, Inc.;0.93;5781225.96;Technology;Radio And Television Broadcasting And Communications Equipment;AMEX;2.24
BGI;Birks Group Inc.;1.2;21408681.6;NA;NA;AMEX;0.74
BHB;Bar Harbor Bankshares, Inc.;24.95;147615053.3;Finance;Major Banks;AMEX;21.93
BKJ;Bancorp of New Jersey, Inc;13.25;70801163;Finance;Major Banks;AMEX;10.63
BRG;Bluerock Residential Growth REIT, Inc.;13.39;74403315.87;Consumer Services;Real Estate Investment Trusts;AMEX;10.08
BRN;Barnwell Industries, Inc.;3.16;26155825.6;Energy;Oil & Gas Production;AMEX;2.27
BTG;B2Gold Corp;2.4;1622347690;Basic Industries;Precious Metals;AMEX;2.44
BTI;British American Tobacco p.l.c.;119.86;1.12E+11;Consumer Non-Durables;Farming/Seeds/Milling;AMEX;11.76
BTN;Ballantyne Strong, Inc;4.22;59668529.64;Miscellaneous;Industrial Machinery/Components;AMEX;4.63
BTX;BioTime, Inc.;2.79;201296627.9;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.27
BVX;Bovie Medical Corporation;4.59;81822882.24;Health Care;Medical/Dental Instruments;AMEX;0.53
BXE;Bellatrix Exploration Ltd;8.71;1506730366;Energy;Oil & Gas Production;AMEX;4.99
BZC;Breeze-Eastern Corporation;9.9;96412605.3;Capital Goods;Military/Government/Technical;AMEX;4.87
CAK;CAMAC Energy Inc.;0.65;818898789.2;Energy;Oil & Gas Production;AMEX;0.26
CANF;Can-Fite Biopharma Ltd;3.96;31091397.48;Health Care;Major Pharmaceuticals;AMEX;0.48
CAW;CCA Industries, Inc.;3.18;22281255.12;Consumer Non-Durables;Package Goods/Cosmetics;AMEX;2.25
CCF;Chase Corporation;29.4;267597506.4;Consumer Durables;Building Products;AMEX;13.74
CEP;Constellation Energy Partners, LLC;2.41;69486158.71;Energy;Oil & Gas Production;AMEX;3.22
CET;Central Securities Corporation;22.78;549324277.9;NA;NA;AMEX;26.78
CHGS;China GengSheng Minerals, Inc.;0.175;4690532.7;Consumer Durables;Miscellaneous manufacturing industries;AMEX;0.85
CIX;CompX International Inc.;10.7;132649044.9;Capital Goods;Industrial Machinery/Components;AMEX;8.57
CKX;CKX Lands, Inc.;15.4;29914423;Energy;Oil & Gas Production;AMEX;6.68
CMT;Core Molding Technologies Inc;12.15;92297001.15;Consumer Non-Durables;Plastic Products;AMEX;9.35
CNR;China Metro-Rural Holdings Limited;0.899;66115860.02;Finance;Real Estate;AMEX;2.06
COVR;Cover-All Technologies Inc.;1.3;34630020.1;Technology;Computer Software: Prepackaged Software;AMEX;0.43
CPHI;China Pharma Holdings, Inc.;0.4;17431822.8;Health Care;Major Pharmaceuticals;AMEX;2.97
CQP;Cheniere Energy Partners, LP;34;11485064442;Public Utilities;Oil/Gas Transmission;AMEX;4.48
CRV;Coast Distribution System, Inc. (The);3.39;18019897.56;Capital Goods;Automotive Aftermarket;AMEX;5.5
CRVP;Crystal Rock Holdings, Inc.;0.85;18156349.35;Consumer Non-Durables;Food Distributors;AMEX;0.17
CTO;Consolidated-Tomoka Land Co.;45.86;269714537.7;Finance;Real Estate;AMEX;20.71
CTP;CTPartners Executive Search Inc.;9.43;67695471.05;Technology;Diversified Commercial Services;AMEX;3
CUO;Continental Materials Corporation;17.16;28316865.72;Capital Goods;Building Materials;AMEX;31.04
CUR;Neuralstem, Inc.;4.34;376549054.7;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.31
CVM;Cel-Sci Corporation;1.1;72567863.5;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.13
CVR;Chicago Rivet & Machine Co.;33.85;32703568.2;Technology;Industrial Machinery/Components;AMEX;25.75
CVU;CPI Aerostructures, Inc.;12.55;106182851.8;Capital Goods;Military/Government/Technical;AMEX;10.77
DEJ;Dejour Energy Inc.;0.2214;36373833.45;Energy;Oil & Gas Production;AMEX;0.05
DGSE;DGSE Companies, Inc.;2.0099;24527983.48;Consumer Services;Consumer Specialties;AMEX;0.82
DIT;AMCON Distributing Company;80.47;49201933.04;Consumer Non-Durables;Food Distributors;AMEX;87.27
DLA;Delta Apparel, Inc.;15.24;120948145.2;Consumer Non-Durables;Apparel;AMEX;17.37
DNN;Denison Mine Corp;1.2;582340040.4;Basic Industries;Precious Metals;AMEX;0.54
DPW;Digital Power Corporation;1.16;7933063.68;Capital Goods;Industrial Machinery/Components;AMEX;0.72
DSS;Document Security Systems, Inc.;1.38;68315456.52;Technology;EDP Services;AMEX;1.25
DXR;Daxor Corporation;7.78;31674931.84;Health Care;Medical/Dental Instruments;AMEX;6.45
EGAS;Gas Natural Inc.;10.4;109070114.4;Public Utilities;Oil/Gas Transmission;AMEX;9.7
EGI;Entree Gold Inc;0.29;42625471.65;Basic Industries;Precious Metals;AMEX;0.29
ELLO;Ellomay Capital Ltd.;10.29;110024497.6;Public Utilities;Electric Utilities: Central;AMEX;9.33
ELMD;Electromed, Inc.;1.24;10061672.48;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;AMEX;1.53
EMAN;eMagin Corporation;2.75;65972230.5;Technology;Semiconductors;AMEX;0.96
EMXX;Eurasian Minerals Inc.;0.715;52233044.44;Basic Industries;Precious Metals;AMEX;0.72
ENSV;ENSERVCO Corporation;3;109656297;Energy;Oilfield Services/Equipment;AMEX;0.48
EOX;Emerald Oil, Inc.;6.08;403044422.1;Energy;Oil & Gas Production;AMEX;5.07
EPM;Evolution Petroleum Corporation, Inc.;10.94;356876321.8;Energy;Oil & Gas Production;AMEX;1.64
ERB;ERBA Diagnostics, Inc.;1.8;78989797.8;Health Care;Major Pharmaceuticals;AMEX;0.41
ESP;Espey Mfg. & Electronics Corp.;24.96;58860048;Capital Goods;Industrial Machinery/Components;AMEX;13.37
ESTE;Earthstone Energy, Inc.;28.7;49714714;Energy;Oil & Gas Production;AMEX;13.45
ETAK;Elephant Talk Communications Corp.;0.895;131292955.8;Public Utilities;Telecommunications Equipment;AMEX;0.17
EVBN;Evans Bancorp, Inc.;22.77;94965040.17;Finance;Major Banks;AMEX;19.17
EVI;EnviroStarm, Inc.;2.45;17232643.4;Consumer Services;Other Consumer Services;AMEX;0.58
EVK;Ever-Glory International Group, Inc.;5.65;83514011.65;Consumer Non-Durables;Apparel;AMEX;3.72
EXE;Crexendo, Inc.;3.3;36833685.9;Technology;EDP Services;AMEX;0.56
FCSC;Fibrocell Science Inc;2.96;120936172.4;Health Care;Major Pharmaceuticals;AMEX;1.01
FPI;Farmland Partners Inc.;13.08;52506821.64;Consumer Services;Real Estate Investment Trusts;AMEX;7.12
FPP;FieldPoint Petroleum Corporation;5.42;43749703.42;Energy;Oil & Gas Production;AMEX;1.59
FRD;Friedman Industries Inc.;8.29;56367390.76;Capital Goods;Steel/Iron Ore;AMEX;9.27
FRS;"Frisch&#39;s Restaurants, Inc.";23.66;120642623.9;Consumer Services;Restaurants;AMEX;17.24
FSI;Flexible Solutions International Inc.;0.64;8428794.24;Basic Industries;Major Chemicals;AMEX;0.84
FSP;Franklin Street Properties Corp.;12.63;1265366925;Consumer Services;Real Estate Investment Trusts;AMEX;10.31
FWV;First West Virginia Bancorp, Inc.;18.0001;31117312.87;Finance;Major Banks;AMEX;18.91
GBR;New Concept Energy, Inc;2.36;4594766.6;Energy;Oil & Gas Production;AMEX;3.61
GIG;GigOptix, Inc.;1.44;46337614.56;Technology;Semiconductors;AMEX;1.29
GLOW;Glowpoint, Inc.;1.5499;55010600.7;Public Utilities;Telecommunications Equipment;AMEX;0.26
GMO;General Moly, Inc;1.01;91852680.48;Basic Industries;Precious Metals;AMEX;1.45
GORO;Gold Resource Corporation;4.25;230262318.3;Basic Industries;Precious Metals;AMEX;1.51
GPL;Great Panther Silver Limited;0.95;132038324.5;Basic Industries;Precious Metals;AMEX;0.59
GRC;Gorman-Rupp Company (The);32.55;854536549.7;Capital Goods;Fluid Controls;AMEX;10.33
GSB;GlobalSCAPE, Inc.;2.23;44155375.91;Technology;Computer Software: Prepackaged Software;AMEX;0.9
GSS;Golden Star Resources, Ltd;0.49;127093690.7;Basic Industries;Precious Metals;AMEX;0.2
GST;Gastar Exploration Inc.;7.28;450037449.7;Energy;Oil & Gas Production;AMEX;3.35
GSV;Gold Standard Ventures Corporation;0.6599;69420932.28;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);AMEX;0.53
GTE;Gran Tierra Energy Inc.;7.2;1964108448;Energy;Oil & Gas Production;AMEX;5.22
GTU;Central Gold Trust;44.14;851857860;NA;NA;AMEX;47.82
GV;Goldfield Corporation (The);1.85;47085004.9;Basic Industries;Water Supply;AMEX;1.23
GVP;GSE Systems, Inc.;1.71;30588238.89;Technology;Computer Software: Prepackaged Software;AMEX;1.6
HEB;Hemispherx BioPharma, Inc.;0.3263;59991504.08;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.18
HH;Hooper Holmes, Inc.;0.69;48583347.81;Health Care;Hospital/Nursing Management;AMEX;0.15
HMG;HMG/Courtland Properties, Inc.;14.5;15209427;Consumer Services;Real Estate Investment Trusts;AMEX;22.22
HRT;Arrhythmia Research Technology Inc.;6.3299;17231500.65;Health Care;Biotechnology: Electromedical & Electrotherapeutic Apparatus;AMEX;2.43
HTM;U.S. Geothermal Inc.;0.6401;65900969.34;Public Utilities;Electric Utilities: Central;AMEX;0.69
HUSA;Houston American Energy Corporation;0.4325;22563501.21;Energy;Oil & Gas Production;AMEX;0.25
IBIO;iBio, Inc.;0.37;24287575.15;Health Care;Major Pharmaceuticals;AMEX;0.11
ICH;Investors Capital Holdings, Ltd.;7.1;50361443.1;Finance;Investment Bankers/Brokers/Service;AMEX;0.86
IDI;Tiger Media, Inc.;0.83;29548610.88;Consumer Services;Advertising;AMEX;0.3
IDN;Intellicheck Mobilisa, Inc.;0.7511;29639507.86;Technology;Computer Software: Prepackaged Software;AMEX;0.49
IEC;IEC Electronics Corp.;4.47;45107436.03;Technology;Electrical Products;AMEX;3.03
IFMI;Institutional Financial Markets, Inc.;2.19;33409564.71;Finance;Investment Bankers/Brokers/Service;AMEX;3.33
IG;IGI Laboratories, Inc.;5.66;266711204.9;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.17
IGC;India Globalization Capital Inc.;1.58;13625239.02;Basic Industries;Precious Metals;AMEX;1.72
IHT;InnSuites Hospitality Trust;2.08;18861554.4;Consumer Services;Real Estate Investment Trusts;AMEX;0.25
IMH;Impac Mortgage Holdings, Inc.;5.8;54057792.2;Consumer Services;Real Estate Investment Trusts;AMEX;2.65
IMO;Imperial Oil Limited;49.25;41744251292;Energy;Integrated oil Companies;AMEX;22.16
IMUC;ImmunoCellular Therapeutics, Ltd.;1.15;66610649.6;Health Care;Major Pharmaceuticals;AMEX;0.41
INFU;InfuSystems Holdings, Inc.;2.8;62651226.4;Health Care;Medical/Dental Instruments;AMEX;1.98
INO;Inovio Pharmaceuticals, Inc.;2.14;514947806.2;Health Care;Medical/Dental Instruments;AMEX;0.54
INS;Intelligent Systems Corporation;1.45;12989140.6;Capital Goods;Metal Fabrications;AMEX;0.92
INTT;inTest Corporation;3.89;41088817.42;Capital Goods;Electrical Products;AMEX;3.02
INUV;Inuvo, Inc;0.89;20919685.85;Consumer Services;Advertising;AMEX;0.26
IOT;Income Opportunity Realty Investors, Inc.;6.31;26301430.34;Consumer Services;Real Estate Investment Trusts;AMEX;19.62
ISDR;Issuer Direct Corporation;10.99;22517839.61;Miscellaneous;Publishing;AMEX;2.17
ISR;IsoRay, Inc.;2.27;123471612.9;Health Care;Medical/Dental Instruments;AMEX;0.46
ITI;Iteris, Inc.;1.73;56698616.91;Consumer Durables;Telecommunications Equipment;AMEX;1.75
JOB;General Employment Enterprises, Inc.;0.2;5179935;Technology;Diversified Commercial Services;AMEX;0.09
LBMH;Liberator Medical Holdings, Inc.;3.71;195938860.4;Health Care;Medical/Nursing Services;AMEX;0.59
LBY;Libbey, Inc.;26.75;574528261;Capital Goods;Industrial Machinery/Components;AMEX;6.05
LEI;Lucas Energy, Inc.;0.532;17728695.18;Energy;Oil & Gas Production;AMEX;0.92
LGL;LGL Group, Inc. (The);4.21;10923821.72;Capital Goods;Industrial Machinery/Components;AMEX;6.18
LIQT;LiqTech International, Inc.;2.28;62044500;Technology;Industrial Machinery/Components;AMEX;0.54
LNG;Cheniere Energy, Inc.;68.5;16296131505;Public Utilities;Oil/Gas Transmission;AMEX;0.52
LODE;Comstock Mining, Inc.;1.68;137211834.5;Basic Industries;Precious Metals;AMEX;0.23
LOV;Spark Networks, Inc.;4.42;105341586;Miscellaneous;Business Services;AMEX;0.47
LSG;Lake Shore Gold Corp;0.71;299645009;Basic Industries;Precious Metals;AMEX;0.97
LTS;Ladenburg Thalmann Financial Services Inc;2.9;527176453.6;Finance;Investment Bankers/Brokers/Service;AMEX;1.16
MCF;Contango Oil & Gas Company;39.79;770549783.3;Energy;Oil & Gas Production;AMEX;30.15
MCZ;Mad Catz Interactive Inc;0.6867;43901765.17;Consumer Non-Durables;Recreational Products/Toys;AMEX;0.19
MDGN;Medgenics, Inc.;7.57;141976038.9;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.83
MDM;Mountain Province Diamonds Inc.;4.63;490962986.9;Basic Industries;Precious Metals;AMEX;1.02
MDW;Midway Gold Corporation;0.8087;108448809.8;Basic Industries;Precious Metals;AMEX;0.49
MEA;Metalico Inc;1.18;56891948.88;Basic Industries;Metal Fabrications;AMEX;2.97
MGH;Minco Gold Corporation;0.29;14653617.35;Basic Industries;Precious Metals;AMEX;0.12
MGN;Mines Management, Inc.;0.82;23912387.36;Basic Industries;Precious Metals;AMEX;0.21
MGT;MGT Capital Investments Inc;1.27;11607295.81;Miscellaneous;Multi-Sector Companies;AMEX;1.1
MHH;Mastech Holdings, Inc;16.43;70615318.5;Consumer Services;Professional Services;AMEX;2.44
MOC;Command Security Corporation;1.7712;16470319.72;Consumer Services;Diversified Commercial Services;AMEX;1.99
MSN;Emerson Radio Corporation;1.78;48291100.96;Consumer Non-Durables;Consumer Electronics/Appliances;AMEX;2.62
MSTX;Mast Therapeutics, Inc.;0.648;73960453.3;Health Care;Major Pharmaceuticals;AMEX;0.46
MVG;Mag Silver Corporation;7.1;428034760.6;Basic Industries;Precious Metals;AMEX;1.66
MXC;Mexco Energy Corporation;6.85;13952532.1;Energy;Oil & Gas Production;AMEX;6.56
NAK;Northern Dynasty Minerals, Ltd.;0.73;69357200.72;Basic Industries;Precious Metals;AMEX;1.28
NBY;NovaBay Pharmaceuticals, Inc.;0.9001;45686334.3;Health Care;Major Pharmaceuticals;AMEX;0.23
NCQ;NovaCopper Inc.;0.93;49875197.85;Basic Industries;Precious Metals;AMEX;0.65
NG;Novagold Resources Inc.;2.99;948692531.3;Basic Industries;Precious Metals;AMEX;1.4
NGD;NEW GOLD INC.;5.37;2704502900;Basic Industries;Precious Metals;AMEX;5.41
NHC;National HealthCare Corporation;53.27;757492634.7;Health Care;Hospital/Nursing Management;AMEX;37.8
NLP;NTS Realty Holdings Limited Partnership;8.6;95419356.4;Consumer Services;Real Estate Investment Trusts;AMEX;0.74
NNVC;NanoViricides, Inc.;3.49;190330640;Health Care;Biotechnology: Commercial Physical & Biological Resarch;AMEX;0.59
NOG;Northern Oil and Gas, Inc.;15.08;920514506.1;Energy;Oil & Gas Production;AMEX;10.16
NSPR;InspireMD, Inc.;2.48;86758923.76;Health Care;Medical/Dental Instruments;AMEX;0.11
NSU;Nevsun Resources Ltd;3.4;677782526.8;Basic Industries;Precious Metals;AMEX;3.1
NTN;NTN Buzztime, Inc.;0.51;46720320.21;Consumer Services;Broadcasting;AMEX;0.11
NTS;NTS, Inc.;1.99;87256071.28;Consumer Services;Telecommunications Equipment;AMEX;0.65
OESX;Orion Energy Systems, Inc.;4.26;91213820.7;Consumer Durables;Building Products;AMEX;3.59
OGEN;Oragenics, Inc.;1.91;69006283.04;Health Care;Major Pharmaceuticals;AMEX;0.39
ONP;Orient Paper, Inc.;2.32;43509048;Consumer Durables;Containers/Packaging;AMEX;8.65
ONVO;Organovo Holdings, Inc.;7.2;560280866.4;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);AMEX;0.63
ORC;Orchid Island Capital, Inc.;12.99;118100728.4;Consumer Services;Real Estate Investment Trusts;AMEX;12.47
ORM;Owens Realty Mortgage, Inc.;17.43;187686257.4;Consumer Services;Real Estate Investment Trusts;AMEX;16.7
PAL;North American Palladium, Ltd.;0.2799;101723428.9;Basic Industries;Precious Metals;AMEX;0.77
PBM;Pacific Booker Minerals Inc;4.23;52274504.97;Basic Industries;Precious Metals;AMEX;2.26
PDO;Pyramid Oil Co;5.41;25362539.85;Energy;Oil & Gas Production;AMEX;2.31
PED;Pedevco Corp.;2.06;54670366.78;Energy;Oil & Gas Production;AMEX;0.28
PIP;PharmAthene, Inc;1.57;85630963.55;Health Care;Major Pharmaceuticals;AMEX;0.16
PLG;Platinum Group Metals Ltd.;1.1;606416626.2;Basic Industries;Precious Metals;AMEX;0.76
PLM;Polymet Mining Corp.;1.14;314166967.3;Basic Industries;Precious Metals;AMEX;0.71
PRK;Park National Corporation;74.53;1147198255;Finance;Major Banks;AMEX;43.3
PTN;Palatin Technologies, Inc.;1.07;42005765.75;Health Care;Major Pharmaceuticals;AMEX;0.36
PVCT;Provectus Biopharmaceuticals, Inc.;0.73;126381959.6;NA;NA;AMEX;0.08
PW;Power REIT;9.23;15416758.24;Consumer Services;Real Estate Investment Trusts;AMEX;5.45
PZG;Paramount Gold and Silver Corp.;0.8991;141826611.7;Basic Industries;Precious Metals;AMEX;0.38
QRM;Quest Rare Minerals Ltd;0.4;27021484.4;Basic Industries;Precious Metals;AMEX;0.99
RBY;Rubicon Minerals Corp;0.98;355842020.9;Basic Industries;Precious Metals;AMEX;1.42
REE;Rare Element Resources Ltd.;1.23;58679875.68;Basic Industries;Precious Metals;AMEX;0.41
REED;Reeds, Inc.;4.29;55954264.08;Consumer Non-Durables;Beverages (Production/Distribution);AMEX;0.25
REI;Ring Energy, Inc.;19.51;461319920.1;Energy;Oil & Gas Production;AMEX;4.42
RIC;Richmont Mines, Inc.;1.17;55745940.51;Basic Industries;Precious Metals;AMEX;1.98
RLGT;Radiant Logistics, Inc.;3.08;105139902.6;Transportation;Oil Refining/Marketing;AMEX;1.15
RNN;Rexahn Pharmaceuticals, Inc.;0.892;158773435.5;Health Care;Major Pharmaceuticals;AMEX;0.16
ROX;Castle Brands, Inc.;0.94;141123689;Consumer Non-Durables;Beverages (Production/Distribution);AMEX;0.11
RPI;Roberts Realty Investors, Inc.;0.86;8650181;Consumer Services;Real Estate Investment Trusts;AMEX;1.27
RVM;Revett Mining Company, Inc.;0.77;30103524.99;Basic Industries;Precious Metals;AMEX;2.08
RVP;Retractable Technologies, Inc.;2.79;76240856.88;Health Care;Medical/Dental Instruments;AMEX;0.95
RWC;RELM Wireless Corporation;3.76;51271442.72;Technology;Radio And Television Broadcasting And Communications Equipment;AMEX;2.35
SAND;Sandstorm Gold Ltd;5.23;581476980.4;Basic Industries;Precious Metals;AMEX;3.67
SARA;Saratoga Resources Inc;1.24;38373785.24;Energy;Oil & Gas Production;AMEX;0.94
SEB;Seaboard Corporation;2884.69;3424957821;Finance;Investment Bankers/Brokers/Service;AMEX;2100.12
SGA;Saga Communications, Inc.;45.08;259164874.9;Consumer Services;Broadcasting;AMEX;19.62
SGB;Southwest Georgia Financial Corporation;14;35669718;Finance;Major Banks;AMEX;12.68
SIF;SIFCO Industries, Inc.;32.2;174302753.8;Capital Goods;Aerospace;AMEX;13.76
SIM;Grupo Simec, S.A. de C.V.;12.93;2145126708;Basic Industries;Steel/Iron Ore;AMEX;12
SKY;Skyline Corporation;4.65;39019284.6;Basic Industries;Homebuilding;AMEX;4.33
SLI;SL Industries, Inc.;31.18;128773400;Capital Goods;Industrial Machinery/Components;AMEX;14.9
SOQ;Sonde Resources Corp;0.3854;21609884.03;Energy;Oil & Gas Production;AMEX;1.31
SSN;Samson Oil & Gas Limited;0.326;41526323.03;Energy;Oil & Gas Production;AMEX;0.4
SSY;SunLink Health Systems, Inc.;1.16;10954353.28;Health Care;Hospital/Nursing Management;AMEX;3.38
STRP;Straight Path Communications Inc.;9.1;107335382.7;Public Utilities;Telecommunications Equipment;AMEX;1.15
STS;Supreme Industries, Inc.;5.79;95163264.63;Capital Goods;Construction/Ag Equipment/Trucks;AMEX;4.43
SVBL;Silver Bull Resources, Inc.;0.27;42949617.39;Basic Industries;Precious Metals;AMEX;0.19
SVLC;SilverCrest Mines, Inc.;1.59;188777846;Basic Industries;Precious Metals;AMEX;1.18
SVT;Servotronics, Inc.;6.7501;16621993;Capital Goods;Industrial Machinery/Components;AMEX;10.38
SYN;Synthetic Biologics, Inc;1.39;81250403.92;Health Care;Major Pharmaceuticals;AMEX;0.2
SYRG;Synergy Resources Corporation;11.34;875279567;Energy;Oil & Gas Production;AMEX;3.32
TAS;Tasman Metals Ltd;0.95;62239502.7;Basic Industries;Precious Metals;AMEX;0.23
TAT;Transatlantic Petroleum Ltd;8.58;321074093.3;Energy;Oil & Gas Production;AMEX;4.5
TGB;Taseko Mines Limited;2.2;428990001;Basic Industries;Precious Metals;AMEX;2.01
TGC;Tengasco, Inc.;0.44;26770661.72;Energy;Oil & Gas Production;AMEX;0.55
TGD;Timmons Gold Corp;1.36;222195501.2;Basic Industries;Precious Metals;AMEX;1.21
THM;International Tower Hill Mines Ltd;0.4769;46768933.46;Basic Industries;Precious Metals;AMEX;0.51
TIK;Tel-Instrument Electronics Corp.;5.3;17216451.1;Capital Goods;Electrical Products;AMEX;1
TIS;Orchids Paper Products Company;29.73;239997179.1;Basic Industries;Paper;AMEX;10.52
TLR;Timberline Resources Corporation;0.105;5842806.69;Basic Industries;Precious Metals;AMEX;0.2
TMP;Tompkins Financial Corporation;45.92;682266594.2;Finance;Major Banks;AMEX;32
TOF;Tofutti Brands Inc.;4.71;24273955.26;Consumer Non-Durables;Specialty Foods;AMEX;0.55
TPI;Tianyin Pharmaceutical Co., Inc.;0.6856;20179121.51;Health Care;Major Pharmaceuticals;AMEX;3.45
TPLM;Triangle Petroleum Corporation;10.06;866522043.5;Energy;Oil & Gas Production;AMEX;6.1
TRT;Trio-Tech International;3.13;10995862.15;Technology;Industrial Machinery/Components;AMEX;5.32
TRX;Tanzanian Royalty Exploration Corporation;1.81;183047162.5;Basic Industries;Precious Metals;AMEX;0.46
TRXC;TransEnterix, Inc.;4.08;256898240.4;Health Care;Medical/Dental Instruments;AMEX;2.01
TXMD;TherapeuticsMD, Inc.;3.9;567214369.8;Health Care;Major Pharmaceuticals;AMEX;0.32
UAMY;United States Antimony Corporation;1.68;106452427.2;Capital Goods;Metal Fabrications;AMEX;0.17
UEC;Uranium Energy Corp.;1.63;146452743.7;Basic Industries;Precious Metals;AMEX;0.57
UQM;UQM TECHNOLOGIES INC;1.93;72469490.87;Capital Goods;Industrial Machinery/Components;AMEX;0.7
URG;Ur Energy Inc;1.21;155776740.7;Basic Industries;Precious Metals;AMEX;0.29
UUU;Universal Security Instruments, Inc.;4.28;9792156.36;Consumer Non-Durables;Electronic Components;AMEX;10.48
UUUU;Energy Fuels Inc;7.78;153137404.4;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);AMEX;6.76
UWN;Nevada Gold & Casinos, Inc.;1.04;16792097.92;Consumer Services;Services-Misc. Amusement & Recreation;AMEX;1.71
VGZ;Vista Gold Corporation;0.3966;32630351.06;Basic Industries;Precious Metals;AMEX;0.52
VHC;VirnetX Holding Corp;15.01;773296692.7;Miscellaneous;Multi-Sector Companies;AMEX;0.58
VII;Vicon Industries, Inc.;2.55;11484906.75;Consumer Durables;Telecommunications Equipment;AMEX;4.04
VSB;VantageSouth Bancshares, Inc.;6.04;333796504.9;Finance;Major Banks;AMEX;4.55
VSR;Versar, Inc.;3.33;32342072.22;Consumer Services;Military/Government/Technical;AMEX;3.97
VTG;Vantage Drilling Company;1.65;504969128.4;Energy;Oil & Gas Production;AMEX;1.74
WGA;Wells-Gardner Electronics Corporation;1.72;20246120;Technology;Radio And Television Broadcasting And Communications Equipment;AMEX;1.42
WRN;Western Copper and Gold Corporation;0.8495;79699186.98;Basic Industries;Precious Metals;AMEX;0.48
WTT;Wireless Telecom Group,  Inc.;2.46;47260181.76;Capital Goods;Electrical Products;AMEX;1.7
WYY;WidePoint Corporation;1.58;115320769.8;Technology;EDP Services;AMEX;0.45
XPL;Solitario Exploration & Royalty Corp;1.18;46270973.02;Basic Industries;Precious Metals;AMEX;0.24
XRA;Exeter Resource Corporation;0.5945;52558409.16;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);AMEX;0.39
XXII;22nd Century Group, Inc;2.95;174530726.1;Consumer Non-Durables;Farming/Seeds/Milling;AMEX;0.18
